services,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,datetime
bike lite,completed,JP Nagar,Mathikere,51,RD3049445565512024,40.68,810.78,48.57,859.35,GPay,2024-06-25 01:07:20
auto,completed,Brigade Road Mota Royal Arcade,MG Road Trinity Circle,87,RD4084513090640209,21.34,254.83,35.46,290.29,GPay,2024-07-16 07:36:20
auto,completed,Whitefield Central,Victoria Layout,119,RD8472961794085901,15.56,225.38,4.58,229.96,Cash,2024-07-19 05:17:20
auto,completed,Indiranagar 6th Stage,Malleshwaram 8th Block,42,RD6606153733329123,46.95,583.48,37.68,621.16,phonePy,2024-07-23 19:52:20
auto,completed,Marathahalli East,Yelahanka Old Town,55,RD8808478632670655,18.92,670.93,43.34,714.27,Amazon Pay,2024-07-02 05:30:20
cab economy,completed,Vasanth Nagar,Indiranagar South,89,RD3876754954522710,2.34,825.76,5.14,830.9,Amazon Pay,2024-07-10 17:02:20
auto share,completed,Electronic City North,Nandi Hills,76,RD1965276045749883,2.25,673.4,2.48,675.88,GPay,2024-07-22 12:17:20
bike lite,completed,Brigade Road,Koramangala North,88,RD5507214012868549,1.88,514.9,16.46,531.36,Cash,2024-07-03 08:49:20
auto share,completed,Brigade Road West,Jayanagar 9th Block East,83,RD3309375692385210,22.64,626.37,29.82,656.19,GPay,2024-07-12 17:33:20
parcel,completed,Malleshwaram,MG Road,69,RD2758615092682251,33.42,711.1,27.88,738.98,QR scan,2024-07-16 16:45:20
parcel,completed,Brigade Road Church Street,Marathahalli West,87,RD9960732095302150,46.8,423.91,23.73,447.64,Cash,2024-07-07 02:52:20
cab premium,completed,JP Nagar,Brigade Road,71,RD9705514985166834,16.47,814.98,12.73,827.71,GPay,2024-06-25 08:50:20
cab economy,completed,Cooke Town,Bannerghatta Road,107,RD2706563120393983,31.91,565.91,41.79,607.7,Amazon Pay,2024-06-29 09:48:20
auto,completed,Banashankari 7th Stage,Hebbal Byatarayanapura,9,RD8236718412469806,9.46,684.78,5.55,690.33,Amazon Pay,2024-07-13 08:07:20
bike lite,completed,Cubbon Road,Malleshwaram 3rd Block,108,RD9230806454926844,30.93,327.18,42.28,369.46,phonePy,2024-07-11 06:22:20
cab premium,completed,Jayanagar 7th Block East,BTM Layout 3rd Stage,29,RD2414081091626959,27.7,771.52,5.14,776.66,Amazon Pay,2024-07-13 04:47:20
auto,completed,Electronic City Phase 3,Jayanagar 9th Block East,31,RD4790463506907797,19.53,150.12,31.56,181.68,QR scan,2024-07-02 08:13:20
cab premium,completed,Brigade Road North,Malleshwaram 10th Block,15,RD7192513418708657,7.47,860.2,27.76,887.96,QR scan,2024-06-25 19:30:20
cab economy,completed,JP Nagar 4th Phase,JP Nagar 10th Phase,67,RD3355432083345358,46.68,37.7,43.37,81.07,GPay,2024-06-30 08:56:20
bike,completed,JP Nagar East,JP Nagar Phase 3,58,RD3535689413308363,45.53,57.22,33.99,91.21,Cash,2024-07-01 22:29:20
bike,completed,MG Road Mayo Hall,Seshadripuram,58,RD9548623743978985,32.17,77.07,12.56,89.63,Cash,2024-06-24 07:41:20
parcel,completed,Manyata Tech Park,Hebbal Kempapura,114,RD6082551595613627,6.6,339.26,25.27,364.53,Amazon Pay,2024-06-30 07:29:20
cab premium,completed,Koramangala West,Commercial Street,41,RD2982907610178054,23.95,759.89,19.74,779.63,Paytm,2024-07-03 09:06:20
parcel,completed,Koramangala South,Rajajinagar 5th Block,24,RD8099788482321479,8.65,17.6,27.09,44.69,QR scan,2024-07-23 01:19:20
auto share,completed,Indiranagar 10th Stage,Rajajinagar 8th Block,66,RD8595249404768517,15.63,807.2,8.85,816.05,phonePy,2024-07-11 19:18:20
cab premium,completed,Banashankari 7th Stage,JP Nagar 7th Phase,80,RD5570509355365369,37.32,675.07,29.39,704.46,GPay,2024-07-01 09:39:20
parcel,completed,Whitefield West,Jayanagar 5th Block East,53,RD8392943451271942,33.34,170.83,21.4,192.23,Amazon Pay,2024-06-26 15:39:20
auto,completed,HSR Layout Sector 9,Jayanagar 7th Block East,22,RD6929523773888213,39.65,745.14,39.16,784.3,phonePy,2024-07-02 09:38:20
cab economy,completed,Koramangala 5th Block,Kempapura,48,RD8569292700511011,15.02,726.91,16.43,743.34,Cash,2024-07-05 18:20:20
bike,completed,JP Nagar Phase 10,HSR Layout Sector 8 North,16,RD4695892873822421,5.08,771.12,25.31,796.43,phonePy,2024-06-23 13:31:20
bike lite,completed,Basaveshwaranagar,JP Nagar North,50,RD2469180989172164,15.5,575.7,40.06,615.76,Cash,2024-07-01 16:23:20
parcel,completed,HSR Layout Sector 1 South,Majestic,77,RD2225865495561930,22.23,380.27,29.24,409.51,Amazon Pay,2024-07-01 04:07:20
cab premium,completed,Whitefield West,Koramangala,12,RD3103507821262709,32.57,190.37,37.74,228.11,QR scan,2024-06-27 12:24:20
cab economy,completed,Rajajinagar 4th Block,Brigade Gateway,119,RD9782828560623889,47.47,41.98,34.41,76.39,phonePy,2024-07-13 22:02:20
cab premium,completed,Electronic City Central,JP Nagar 10th Phase,62,RD9325724152046105,39.69,475.9,19.4,495.3,Amazon Pay,2024-06-28 03:24:20
cab premium,completed,Cunningham Road,Magadi Road,69,RD7193858197181328,14.12,878.11,46.03,924.14,QR scan,2024-06-29 08:21:20
bike,completed,Koramangala 9th Block,JP Nagar Central,32,RD2985027406267138,20.15,828.69,23.83,852.52,phonePy,2024-06-25 22:05:20
bike,completed,JP Nagar Phase 6,Electronic City,19,RD8052123891914001,1.61,919.9,38.26,958.16,Paytm,2024-07-15 20:03:20
bike,completed,Jayanagar 5th Block East,Indiranagar,28,RD3286256951422094,18.58,981.08,35.98,1017.06,Paytm,2024-07-11 01:50:20
auto share,completed,Brigade Road Church Street,Electronic City West,18,RD3736324419098414,23.73,637.67,47.98,685.65,Cash,2024-06-24 05:41:20
bike,completed,HSR Layout North,Kundalahalli,24,RD6868375624180793,2.61,981.43,16.43,997.86,QR scan,2024-07-19 08:54:20
auto share,completed,HSR Layout Sector 5 South,Koramangala South,46,RD2903517278825755,14.53,607.65,26.98,634.63,Amazon Pay,2024-07-02 04:23:20
bike,completed,Richmond Town,Whitefield Kadugodi,46,RD1755955597548572,25.05,640.87,45.62,686.49,Amazon Pay,2024-07-15 02:44:20
parcel,completed,Malleshwaram Central,Kammanahalli,100,RD3229104147399873,31.29,475.38,1.69,477.07,Cash,2024-06-24 11:21:20
auto,completed,Residency Road,Rajajinagar,89,RD5632312991229244,11.06,728.36,13.98,742.34,GPay,2024-06-27 15:12:20
cab economy,completed,HSR Layout Sector 8 South,HSR Layout South,34,RD5868232880043192,48.17,596.14,18.94,615.08,Paytm,2024-07-11 20:24:20
parcel,completed,Marathahalli North,Lavelle Road,108,RD9564230566157431,11.07,640.06,47.49,687.55,Paytm,2024-07-06 00:00:20
auto share,completed,Panathur,RT Nagar,78,RD1978159621783152,48.47,789.81,20.38,810.19,Amazon Pay,2024-07-23 09:51:20
cab economy,completed,Lingarajapuram,Electronic City Central,67,RD6460463318828818,49.38,882.68,28.78,911.46,Paytm,2024-07-16 07:05:20
cab economy,completed,HSR Layout Sector 9 South,Indiranagar 5th Stage,116,RD4644409543517147,21.34,710.9,3.25,714.15,Cash,2024-07-16 11:32:20
bike lite,completed,HSR Layout,Malleshwaram East,57,RD2913984767379717,18.95,464.7,21.65,486.35,Amazon Pay,2024-06-25 07:16:20
auto,completed,MG Road Brigade Road,Hebbal West,23,RD6245107871970283,5.77,903.52,1.31,904.83,QR scan,2024-07-14 01:44:20
bike,completed,JP Nagar South,Whitefield ITPL,66,RD7650977329169354,17.9,813.79,31.26,845.05,Cash,2024-07-18 03:36:20
auto share,completed,Kalyan Nagar,Whitefield North,93,RD2498466901299133,12.42,543.94,21.64,565.58,GPay,2024-07-15 01:56:20
cab premium,completed,Hennur,Marathahalli Ring Road,49,RD4866019770616752,45.88,111.49,14.21,125.7,phonePy,2024-07-07 08:53:20
cab premium,completed,Brigade Road Eva Mall,Indiranagar East,115,RD6709382825228173,5.72,61.45,35.69,97.14,phonePy,2024-07-03 19:24:20
bike,completed,Infantry Road,JP Nagar 6th Phase,41,RD9570252317712662,31.39,79.69,25.24,104.93,Amazon Pay,2024-07-07 22:19:20
cab premium,completed,MG Road Trinity Circle,Indiranagar 2nd Stage,51,RD8958026291146000,18.02,703.57,17.42,720.99,Paytm,2024-07-05 23:02:20
auto share,completed,JP Nagar 2nd Phase,Malleshwaram 8th Block,102,RD8020551086459002,31.42,239.22,26.76,265.98,Cash,2024-06-24 07:58:20
cab premium,completed,Whitefield Nallurhalli,JP Nagar Phase 7,33,RD5758000376065641,41.19,860.28,17.83,878.11,Cash,2024-07-14 18:44:20
cab premium,completed,HSR Layout Sector 8 North,MG Road,20,RD4969945860129344,7.06,493.94,45.0,538.94,GPay,2024-07-04 07:29:20
bike lite,completed,Banashankari,Kempapura,48,RD3227139181463117,31.95,534.55,31.08,565.63,GPay,2024-07-04 09:32:20
parcel,completed,Brigade Road Forum Mall,Jayanagar 6th Block East,115,RD8341240548443273,49.06,734.3,28.41,762.71,Amazon Pay,2024-07-12 17:11:20
cab economy,completed,Benson Town,MG Road Garuda Mall,20,RD8829857339735439,4.62,687.6,47.96,735.56,Cash,2024-07-13 05:10:20
parcel,completed,HSR Layout Sector 10 South,Indiranagar East,69,RD6881937714234803,23.8,349.91,37.65,387.56,QR scan,2024-06-24 14:44:20
auto share,completed,Hebbal Dasarahalli,Lingarajapuram,10,RD3409533816504899,17.43,773.48,37.73,811.21,GPay,2024-06-27 17:57:20
auto,completed,Banashankari 1st Stage,BTM Layout,93,RD8219929921180810,37.4,383.87,34.09,417.96,GPay,2024-07-21 12:24:20
auto share,completed,Jayanagar 8th Block,Frazer Town,48,RD5882543454556108,8.42,268.97,10.38,279.35,Amazon Pay,2024-07-23 07:55:20
parcel,completed,KR Puram,JP Nagar Phase 4,72,RD4628865295809100,29.45,241.36,11.63,252.99,Cash,2024-07-09 23:50:20
bike lite,completed,HSR Layout Sector 8,HSR Layout Sector 6,29,RD4263501203316359,3.88,837.98,29.73,867.71,Amazon Pay,2024-07-02 03:09:20
bike,completed,Doddanekundi,BTM Layout 3rd Stage,74,RD7105621789528821,12.13,130.5,29.16,159.66,Amazon Pay,2024-06-30 09:02:20
cab premium,completed,Koramangala Central,Banashankari 10th Stage,106,RD8184860855077570,6.68,311.62,7.2,318.82,GPay,2024-07-12 02:12:20
auto share,completed,Koramangala 2nd Block,Brigade Road Mayo Hall,115,RD5592610883749783,21.25,416.31,45.14,461.45,GPay,2024-07-13 03:27:20
parcel,completed,Whitefield Mahadevapura,Electronic City Phase 1,21,RD1601447647669672,30.69,533.92,11.87,545.79,GPay,2024-06-29 17:57:20
cab economy,completed,Basaveshwaranagar,Jayanagar 8th Block East,111,RD1210641649245114,13.79,477.49,0.15,477.64,phonePy,2024-07-21 18:06:20
bike,completed,Sarjapur Road,HSR Layout Sector 9,86,RD6665824409720259,46.05,798.87,30.96,829.83,Paytm,2024-07-18 13:44:20
bike lite,completed,Koramangala 2nd Block,Electronic City Phase 1,100,RD4370590703748824,30.24,761.42,39.07,800.49,Amazon Pay,2024-06-23 22:38:20
bike lite,completed,Indiranagar North,Cooke Town,77,RD7630358023623076,27.03,506.27,30.86,537.13,phonePy,2024-06-29 03:37:20
parcel,completed,Jayanagar 9th Block East,Rajajinagar 4th Block,76,RD1731115900373475,19.92,320.88,19.9,340.78,GPay,2024-07-17 21:48:20
cab premium,completed,JP Nagar Phase 7,Jayanagar 8th Block East,61,RD7123548164559682,24.15,363.99,25.76,389.75,Amazon Pay,2024-07-21 14:22:20
auto,completed,Shantinagar,Indiranagar 5th Stage,44,RD2272365720025050,29.54,165.87,7.62,173.49,QR scan,2024-06-26 16:53:20
bike lite,completed,Sadashivanagar,Marathahalli Ring Road,12,RD9550185006332906,45.58,941.12,7.11,948.23,QR scan,2024-07-04 14:12:20
auto,completed,Malleshwaram 7th Block,HSR Layout Sector 8 South,9,RD2120388503086524,38.2,371.73,40.06,411.79,Cash,2024-07-20 10:29:20
cab economy,completed,Whitefield North,Nandi Hills,31,RD7175364112113964,44.93,136.36,35.15,171.51,Amazon Pay,2024-07-01 03:54:20
cab economy,completed,Banashankari 9th Stage,Brigade Road Forum Mall,99,RD3493491457417866,27.39,189.69,18.95,208.64,Paytm,2024-07-19 21:24:20
cab economy,completed,Koramangala 7th Block,Hennur,56,RD8149054671451924,28.28,570.65,32.78,603.43,QR scan,2024-06-25 07:19:20
cab economy,completed,Lalbagh,Chamarajpet,81,RD7122390063347241,15.17,692.25,27.57,719.82,GPay,2024-07-19 22:47:20
cab premium,completed,Kempapura,Basaveshwaranagar,55,RD6470204241106359,28.79,442.77,44.86,487.63,Amazon Pay,2024-07-04 10:11:20
auto share,completed,Marathahalli Ring Road,Malleshwaram East,93,RD7126610625778086,11.39,96.45,45.28,141.73,QR scan,2024-07-14 03:22:20
cab economy,completed,Marathahalli Colony,Doddanekundi,39,RD2315461608864413,21.13,179.68,10.88,190.56,Amazon Pay,2024-07-21 17:44:20
parcel,completed,Anand Nagar,Jayanagar 10th Block,74,RD8947905567618668,48.96,970.92,11.14,982.06,QR scan,2024-07-13 23:55:20
bike lite,completed,Kammanahalli,Malleshwaram Central,28,RD4350408428520834,9.59,643.42,48.93,692.35,Cash,2024-07-02 13:06:20
auto,completed,HSR Layout Sector 9 North,Shivajinagar,116,RD9192513800322792,47.41,626.34,47.17,673.51,GPay,2024-07-19 18:25:20
parcel,completed,Vignan Nagar,Bagmane Tech Park,111,RD3241021234060916,1.26,603.65,47.76,651.41,QR scan,2024-07-08 05:22:20
bike lite,completed,Jayanagar 8th Block,HSR Layout Sector 10,108,RD5919677730434766,30.03,806.65,39.95,846.6,GPay,2024-07-04 10:25:20
bike,completed,Electronic City,Basavanagudi,78,RD1702021528360733,14.48,149.68,5.68,155.36,Paytm,2024-07-03 21:15:20
bike,completed,JP Nagar Phase 5,Whitefield North,8,RD4479638750762586,3.29,666.14,41.65,707.79,QR scan,2024-07-16 20:41:20
auto share,completed,JP Nagar Phase 3,Indiranagar North,78,RD1911683834385469,13.68,642.22,35.65,677.87,QR scan,2024-07-02 23:37:20
cab premium,completed,Marathahalli Central,Indiranagar 9th Stage,83,RD6640716084254374,1.22,872.09,45.81,917.9,Cash,2024-06-26 05:22:20
auto,completed,Banashankari 6th Stage,BTM Layout 2nd Stage,115,RD4682656279459850,47.5,395.01,1.75,396.76,Paytm,2024-06-29 01:26:20
bike lite,completed,Whitefield East,Bannerghatta Road,41,RD2359521739813354,21.68,523.87,8.49,532.36,phonePy,2024-07-19 08:36:20
auto share,completed,Electronic City Phase 3,JP Nagar Phase 10,73,RD8874308340963312,18.21,255.94,4.57,260.51,QR scan,2024-07-07 22:46:20
cab premium,completed,HSR Layout Sector 9,Varthur,31,RD5677785289489014,19.98,654.53,19.43,673.96,Paytm,2024-06-30 09:57:20
bike,completed,Jayanagar 5th Block,HSR Layout Sector 4,7,RD6611954180109385,20.51,578.73,8.25,586.98,Amazon Pay,2024-06-29 10:44:20
bike lite,completed,JP Nagar 4th Phase,Jayanagar 10th Block,35,RD5589550540875185,49.38,842.3,14.56,856.86,QR scan,2024-07-20 22:25:20
auto share,completed,JP Nagar 8th Phase,HSR Layout Central,19,RD5139065849649435,42.53,940.58,43.98,984.56,GPay,2024-07-21 02:08:20
cab premium,completed,Malleshwaram 10th Block,Brigade Road Brigade Gateway,5,RD4369075586549166,5.82,457.83,15.47,473.3,GPay,2024-07-17 05:17:20
cab economy,completed,Rajajinagar,Indiranagar North,21,RD3490873955900975,39.05,880.07,7.97,888.04,Paytm,2024-07-03 00:32:20
cab premium,completed,HSR Layout Sector 2 North,Marathahalli Ring Road,117,RD3145946686593565,2.42,305.28,1.43,306.71,Amazon Pay,2024-06-24 05:07:20
cab premium,completed,Brigade Road Forum Mall,Koramangala 4th Block,7,RD5696461666063268,15.47,294.73,9.03,303.76,GPay,2024-06-26 09:03:20
cab premium,completed,Jayanagar 6th Block,Electronic City Phase 2,110,RD4981462043237448,8.0,240.61,37.87,278.48,Amazon Pay,2024-07-22 13:39:20
auto share,completed,Jayanagar 7th Block,Indiranagar 2nd Stage,58,RD5633388982343701,21.12,329.51,24.08,353.59,GPay,2024-07-01 09:48:20
parcel,completed,Marathahalli North,Electronic City West,51,RD4406384807316358,32.27,820.76,6.33,827.09,QR scan,2024-07-11 18:03:20
auto share,completed,JP Nagar Phase 6,Jayanagar 2nd Block East,15,RD1020094922826700,10.84,953.92,29.37,983.29,QR scan,2024-07-05 09:54:20
cab premium,completed,Jayanagar 3rd Block,Marathahalli Central,40,RD9497853495892506,20.8,33.08,27.21,60.29,QR scan,2024-07-07 05:00:20
bike lite,completed,Marathahalli South,Marathahalli East,57,RD2388940171313736,6.11,989.3,29.54,1018.84,Amazon Pay,2024-06-24 13:52:20
bike,completed,Malleshwaram 8th Block,Hebbal Kodigehalli,13,RD1286213542089051,28.38,506.88,17.87,524.75,QR scan,2024-07-19 15:42:20
auto share,completed,Hebbal North,HSR Layout Sector 1 North,104,RD9669147846553752,39.48,836.71,6.57,843.28,GPay,2024-07-12 19:30:20
cab premium,completed,Neelasandra,Hennur,88,RD8204277291025256,29.66,211.79,41.09,252.88,Paytm,2024-06-27 23:28:20
bike lite,completed,Brigade Road North,Malleshwaram,16,RD7057885906067473,25.7,940.38,16.33,956.71,Amazon Pay,2024-07-19 03:25:20
cab premium,completed,Malleshwaram 5th Block,Vasanth Nagar,106,RD7022700858514648,46.08,461.91,2.03,463.94,Amazon Pay,2024-07-18 17:18:20
auto share,completed,JP Nagar 8th Phase,HSR Layout Sector 3 North,58,RD3706115498560356,8.32,481.28,29.05,510.33,QR scan,2024-07-12 06:47:20
parcel,completed,Jayanagar 6th Block East,JP Nagar West,30,RD5922535466466609,16.86,411.8,25.99,437.79,Amazon Pay,2024-06-28 10:11:20
cab economy,completed,JP Nagar Phase 2,Banashankari 6th Stage,79,RD7860928785487149,26.29,205.42,4.41,209.83,QR scan,2024-07-17 14:26:20
cab premium,completed,Infantry Road,JP Nagar 8th Phase,96,RD3134806354721408,35.48,89.1,26.23,115.33,GPay,2024-07-06 19:06:20
bike,completed,Basavanagudi,Varthur,26,RD7709024681363365,4.21,734.76,3.11,737.87,Amazon Pay,2024-07-08 01:45:20
auto share,completed,Brigade Road Bangalore Central,JP Nagar Phase 1,9,RD5268895830435754,24.1,582.52,22.2,604.72,QR scan,2024-07-04 08:57:20
bike lite,completed,Magadi Road,Lalbagh,91,RD9741302131213507,1.53,322.58,14.98,337.56,QR scan,2024-07-06 14:33:20
parcel,completed,Brigade Road East,Basaveshwara Nagar,50,RD1282601818657868,17.99,848.9,32.6,881.5,GPay,2024-06-27 12:52:20
bike,completed,Sadashivanagar,JP Nagar 1st Phase,92,RD3185973851451513,19.23,415.37,28.48,443.85,QR scan,2024-06-26 09:55:20
parcel,completed,Hebbal South,Brigade Road Bangalore Central,76,RD1121731524509568,26.55,367.15,19.65,386.8,Amazon Pay,2024-06-23 09:26:20
auto,completed,Hebbal Kempapura,Ashok Nagar,60,RD6185352006850791,32.59,410.63,25.1,435.73,GPay,2024-06-29 06:13:20
cab economy,completed,HSR Layout Sector 7 South,Brigade Road West,30,RD9328229905248770,14.29,511.4,20.5,531.9,Cash,2024-07-19 20:15:20
auto,completed,HSR Layout Sector 5,Electronic City Central,112,RD5494451484127450,9.19,260.64,28.02,288.66,QR scan,2024-06-29 00:52:20
auto,completed,Hebbal West,Koramangala West,59,RD9774770691599083,42.65,355.52,40.25,395.77,GPay,2024-07-11 15:43:20
auto,completed,Koramangala 9th Block,Bagmane Tech Park,109,RD5134753589506894,3.3,360.65,49.19,409.84,GPay,2024-07-06 08:30:20
auto,completed,Bagmane Tech Park,Basaveshwaranagar,14,RD2985399422143417,39.14,452.62,1.0,453.62,GPay,2024-06-23 13:48:20
bike lite,completed,Indiranagar 7th Stage,Indiranagar 1st Stage,15,RD9113572701610670,34.13,740.44,46.97,787.41,Amazon Pay,2024-07-10 11:45:20
cab economy,completed,Brigade Road Mayo Hall,Jayanagar 3rd Block,41,RD6988399358332931,20.49,369.13,17.28,386.41,Cash,2024-06-28 04:36:20
cab economy,completed,Electronic City Phase 1,Hebbal Kempapura,105,RD4001277335389608,10.9,63.85,4.38,68.23,Amazon Pay,2024-07-09 17:39:20
parcel,completed,Brigade Road Church Street,Indiranagar 3rd Stage,49,RD3066209518524114,38.08,732.21,47.24,779.45,QR scan,2024-07-04 22:36:20
bike,completed,JP Nagar Phase 4,Jayanagar 4th Block,85,RD1870917990650233,19.61,152.62,29.65,182.27,Amazon Pay,2024-07-19 15:26:20
parcel,completed,Murphy Town,Avenue Road,23,RD1535170865046755,30.36,33.57,17.3,50.87,GPay,2024-07-23 04:48:20
bike,completed,Indiranagar 9th Stage,Rajajinagar 5th Block,100,RD2321429254485161,13.41,251.98,26.54,278.52,Paytm,2024-07-11 15:02:20
bike,completed,Malleshwaram South,Kalyan Nagar,67,RD7114477441512064,35.1,588.63,22.3,610.93,phonePy,2024-07-14 07:21:20
cab economy,completed,Jayanagar 1st Block,Hoskote,58,RD6031961272183254,16.72,87.79,10.67,98.46,Cash,2024-07-10 00:06:20
auto share,completed,MG Road Central,Banashankari 4th Stage,51,RD9197548099025214,37.77,185.02,36.11,221.13,QR scan,2024-07-13 11:52:20
bike lite,completed,HSR Layout South,Whitefield Varthur Road,42,RD9816184204779316,35.9,660.97,47.97,708.94,Paytm,2024-07-15 07:37:20
auto share,completed,Electronic City South,JP Nagar Phase 10,113,RD8656615021689876,2.74,927.67,9.18,936.85,phonePy,2024-07-03 07:09:20
bike,completed,Malleshwaram 9th Block,Indiranagar 8th Stage,117,RD1851805666399571,38.44,530.65,44.17,574.82,QR scan,2024-06-30 11:02:20
bike lite,completed,Brigade Road Forum Mall,Electronic City East,51,RD3739436664272787,6.27,953.51,2.29,955.8,phonePy,2024-06-29 23:35:20
parcel,completed,Rajajinagar 4th Block,JP Nagar 9th Phase,94,RD5234265729189499,41.38,393.62,17.41,411.03,Amazon Pay,2024-06-29 23:27:20
cab premium,completed,Jayanagar 8th Block,Shantinagar,86,RD5725188312984873,45.97,921.76,17.3,939.06,QR scan,2024-06-23 00:46:20
parcel,completed,Kalyan Nagar,St. Marks Road,13,RD4455877361581417,43.47,529.67,0.28,529.95,Paytm,2024-06-28 16:05:20
cab premium,completed,MG Road Trinity Circle,Brigade Road Mota Royal Arcade,18,RD6166695334810614,38.62,330.11,43.53,373.64,Amazon Pay,2024-07-02 18:43:20
auto share,completed,JP Nagar Phase 10,Doddanekundi,39,RD4544770463200401,4.18,458.59,1.81,460.4,GPay,2024-07-23 16:34:20
cab economy,completed,MG Road Commercial Street,Palace Guttahalli,34,RD3940118176666053,8.52,881.14,22.96,904.1,Cash,2024-07-10 05:30:20
auto,completed,Koramangala Central,Mysore Road,12,RD6313113089864449,10.16,258.2,19.62,277.82,Paytm,2024-06-24 23:03:20
parcel,completed,Majestic,RT Nagar,32,RD1205626511427579,41.74,212.59,2.38,214.97,QR scan,2024-07-21 14:31:20
bike,completed,HSR Layout East,JP Nagar 7th Phase,97,RD2942270916480800,47.06,156.05,29.66,185.71,Amazon Pay,2024-06-23 17:25:20
bike lite,completed,Sahakar Nagar,Basaveshwaranagar,89,RD9006225656676806,23.7,869.86,48.96,918.82,Amazon Pay,2024-07-09 17:20:20
cab premium,completed,Jayanagar 5th Block,Koramangala 3rd Block,118,RD8247298803898540,42.44,906.56,38.44,945.0,phonePy,2024-07-02 04:42:20
auto share,completed,JP Nagar 6th Phase,Banashankari 4th Stage,55,RD7271444355887028,26.91,544.12,5.94,550.06,phonePy,2024-07-12 07:40:20
auto share,completed,Cooke Town,Richmond Town,53,RD1793388004624360,3.98,750.2,32.41,782.61,Cash,2024-07-21 12:38:20
bike,completed,BTM Layout 4th Stage,HSR Layout Sector 7 South,74,RD6302323981141591,12.73,222.73,7.32,230.05,Paytm,2024-07-16 07:53:20
auto,completed,Malleshwaram 2nd Block,Banashankari 1st Stage,54,RD7850321671635066,2.4,955.21,22.25,977.46,GPay,2024-07-01 05:22:20
auto share,completed,Banashankari 7th Stage,Jayanagar 8th Block East,102,RD9352435613664911,18.79,522.33,5.22,527.55,QR scan,2024-06-28 14:33:20
auto,completed,Avenue Road,HSR Layout Sector 2 South,56,RD7996861059775983,39.41,37.58,37.15,74.73,phonePy,2024-07-08 14:08:20
cab economy,completed,MG Road Trinity Circle,HSR Layout Sector 5,119,RD7458818185315984,16.91,673.45,26.78,700.23,phonePy,2024-07-12 06:13:20
parcel,completed,HSR Layout Sector 6,Koramangala West,61,RD8233287027167755,15.02,610.86,19.35,630.21,GPay,2024-07-16 15:37:20
bike,completed,Indiranagar 5th Stage,HSR Layout North,12,RD5792480037842448,18.45,32.77,23.54,56.31,Amazon Pay,2024-07-09 08:03:20
bike lite,completed,HSR Layout Sector 7 South,Brigade Road Central,47,RD4194391955727439,23.85,229.49,16.72,246.21,Amazon Pay,2024-06-28 00:15:20
cab premium,completed,Brigade Road East,Marathahalli West,36,RD1954657290240991,9.65,955.01,30.07,985.08,Amazon Pay,2024-07-07 17:11:20
bike,completed,HSR Layout Sector 3 South,Hebbal Dasarahalli,98,RD4293441049380745,8.98,256.09,35.08,291.17,QR scan,2024-06-23 03:28:20
auto share,completed,Hebbal South,Electronic City West,77,RD6698696992847143,14.17,442.24,16.89,459.13,GPay,2024-07-18 09:10:20
cab premium,completed,Brigade Road Garuda Mall,Hebbal Sanjay Nagar,64,RD5502188762837133,39.45,559.04,39.28,598.32,phonePy,2024-07-09 03:27:20
cab economy,completed,JP Nagar West,Koramangala 8th Block,43,RD7240573961988326,23.53,746.21,31.49,777.7,Amazon Pay,2024-07-01 08:25:20
auto,completed,Brigade Road Residency Road,Indiranagar Central,10,RD4117035659049246,38.96,796.54,20.89,817.43,Paytm,2024-07-04 14:52:20
auto share,completed,BTM Layout 2nd Stage,Brigade Road Brigade Gateway,100,RD9104337721340965,29.4,315.02,32.3,347.32,Paytm,2024-07-23 12:26:20
bike,completed,Brigade Road Garuda Mall,Jayanagar 10th Block,67,RD6434472433803091,17.95,550.6,22.56,573.16,Amazon Pay,2024-07-14 19:59:20
bike,completed,Ganganagar,Indiranagar East,43,RD7107199588121953,43.93,903.07,7.04,910.11,GPay,2024-07-03 08:45:20
auto share,completed,MG Road Symphony Theatre,Yelahanka Old Town,72,RD5242122396122078,45.37,523.4,38.25,561.65,Cash,2024-07-22 17:17:20
bike,completed,Malleshwaram 1st Block,BTM Layout 2nd Stage,102,RD5392383871400240,10.58,122.92,45.6,168.52,Cash,2024-07-13 03:50:20
cab economy,completed,MG Road Garuda Mall,Tumkur Road,70,RD2335234569590922,39.54,245.39,41.77,287.16,Amazon Pay,2024-07-15 20:01:20
parcel,completed,Sanjay Nagar,Banashankari 9th Stage,80,RD7928940985360773,41.67,354.33,12.14,366.47,Amazon Pay,2024-06-27 12:38:20
cab economy,completed,HSR Layout North,Jayanagar 10th Block,54,RD8234013466477149,40.91,302.2,34.08,336.28,QR scan,2024-06-30 06:10:20
auto share,completed,JP Nagar Phase 5,Malleshwaram 1st Block,29,RD7693729250443771,38.94,65.17,3.23,68.4,Cash,2024-06-29 22:40:20
cab premium,completed,HSR Layout Sector 7,BTM Layout,89,RD9933268975628616,9.09,579.81,38.09,617.9,QR scan,2024-07-19 09:56:20
cab economy,completed,BTM Layout 3rd Stage,Whitefield South,35,RD8359485313611589,41.23,69.53,44.26,113.79,phonePy,2024-07-12 03:42:20
cab premium,completed,Hebbal Dasarahalli,Yeshwanthpur,90,RD2355250017480478,49.96,424.77,0.26,425.03,QR scan,2024-07-10 22:21:20
